N (# of atoms):
15 Fe6 420.116 0.925344
15 Fe6 430.116 0.923656
15 Fe6 440.117 0.923591
15 Fe6 450.117 0.923197
15 Fe6 460.117 0.919996
15 Fe6 470.118 0.922813
15 Fe6 480.118 0.922411
15 Fe6 490.119 0.91957
T= 490.119 Sum_i(J(m_i, T))
   
16 Fe7 0.100004 1.05982
16 Fe7 10.1004 1.05557
16 Fe7 20.1008 1.05146
16 Fe7 30.1011 1.04689
16 Fe7 40.1015 1.04219
16 Fe7 50.1019 1.03813
16 Fe7 60.1023 1.03359
16 Fe7 70.1027 1.02916
16 Fe7 80.103 1.02331
16 Fe7 90.1034 1.0183
16 Fe7 100.104 1.01379
16 Fe7 110.104 1.00971
16 Fe7 120.105 1.00482
16 Fe7 130.105 0.999962
16 Fe7 140.105 0.996019
16 Fe7 150.106 0.99102
16 Fe7 160.106 0.98889
16 Fe7 170.106 0.982728
16 Fe7 180.107 0.97981
16 Fe7 190.107 0.976065
16 Fe7 200.108 0.971016
16 Fe7 210.108 0.969762
16 Fe7 220.108 0.964788
16 Fe7 230.109 0.960804
16 Fe7 240.109 0.958686
16 Fe7 250.109 0.954631
16 Fe7 260.11 0.952845
16 Fe7 270.11 0.950752
16 Fe7 280.111 0.948388
16 Fe7 290.111 0.94568
16 Fe7 300.111 0.943487
16 Fe7 310.112 0.941362
16 Fe7 320.112 0.93855
16 Fe7 330.113 0.937188
16 Fe7 340.113 0.93584
16 Fe7 350.113 0.932278
16 Fe7 360.114 0.932185
16 Fe7 370.114 0.932353
16 Fe7 380.114 0.92881
16 Fe7 390.115 0.928157
16 Fe7 400.115 0.926345
16 Fe7 410.116 0.925572
16 Fe7 420.116 0.92451
16 Fe7 430.116 0.92369
16 Fe7 440.117 0.922963
16 Fe7 450.117 0.922457
16 Fe7 460.117 0.922686
16 Fe7 470.118 0.920249
16 Fe7 480.118 0.918821
16 Fe7 490.119 0.921093
T= 490.119 Sum_i(J(m_i, T))
   
17 Fe8 0.100004 1.23401
17 Fe8 10.1004 1.22993
17 Fe8 20.1008 1.22551
17 Fe8 30.1011 1.22081
17 Fe8 40.1015 1.21675
17 Fe8 50.1019 1.2118
17 Fe8 60.1023 1.20775
17 Fe8 70.1027 1.20255
17 Fe8 80.103 1.19791
17 Fe8 90.1034 1.19221
17 Fe8 100.104 1.18644
17 Fe8 110.104 1.18044
17 Fe8 120.105 1.17636
17 Fe8 130.105 1.17092
17 Fe8 140.105 1.16521
17 Fe8 150.106 1.16035
17 Fe8 160.106 1.15424
17 Fe8 170.106 1.14893
17 Fe8 180.107 1.14221
17 Fe8 190.107 1.13733
17 Fe8 200.108 1.13211
17 Fe8 210.108 1.12745
17 Fe8 220.108 1.12253
17 Fe8 230.109 1.11838
17 Fe8 240.109 1.11371
17 Fe8 250.109 1.10852
17 Fe8 260.11 1.10549
17 Fe8 270.11 1.10157
17 Fe8 280.111 1.09728
17 Fe8 290.111 1.09231
17 Fe8 300.111 1.08952
17 Fe8 310.112 1.08544
17 Fe8 320.112 1.08348
17 Fe8 330.113 1.0787
17 Fe8 340.113 1.07767
17 Fe8 350.113 1.07246
17 Fe8 360.114 1.07012
